Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoClimateAdapt,TBox,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoClimateAdapt,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoClimateAdapt,TBox,"OntoClimateAdapt is an ontology designed to provide a formal semantic representation of data related to climate change adaptation research, initiatives, and actions. It enables the standardized description, integration, and interoperable exchange of information to support the development of resilient societies and adaptive capacities in the face of climate change.",http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoClimateAdapt,TBox,https://raw.githubusercontent.com/HajoRijgersberg/OM/refs/heads/master/om-2.0.rdf,http://www.w3.org/2002/07/owl#imports,,,,,,
http://sweetontology.net/phenPlanetClimate/ClimateChange,Class,EnvironmentalPhenomenon,IS-A,,,,An Environmental Phenomenon that represents a persistent alteration in the statistical properties of the climate system.,,
http://sweetontology.net/phenPlanetClimate/ClimateChange,Class,EarthSystemPhenomenon,IS-A,,,,,,
hasCause,Object Property,,,http://sweetontology.net/phenPlanetClimate/ClimateChange,GreenhouseGasEmission,,"A causal relationship between an effect (or phenomenon) and the process, or event responsible for its occurrence.",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasCause
hasEffect,Object Property,,,http://sweetontology.net/phenPlanetClimate/ClimateChange,MeteorologicalExtremeEvent UNION http://sweetontology.net/phenEnvirImpact/SeaLevelRise UNION http://sweetontology.net/phenEnvirImpact/OceanAcidification,,"A causal relationship between a phenomenon and the observable processes, events, or conditions that result from it.",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,hasEffect
studiedBy,Object Property,,,http://sweetontology.net/phenPlanetClimate/ClimateChange,http://sweetontology.net/humanKnowledgeDomain/AtmosphericScience UNION EnvironmentalScience UNION http://sweetontology.net/humanKnowledgeDomain/Paleoclimatology,,The relationship between a natural or environmental phenomenon and the scientific disciplines that systematically investigate it.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,studiedBy
affects,Object Property,,,http://sweetontology.net/phenPlanetClimate/ClimateChange,http://sweetontology.net/humanKnowledgeDomain/Ecology UNION HumanHealth UNION Economy,,"An influence relationship between a phenomenon, process, or event and the systems, entities, or domains that experience its impact.",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,affects
adaptedThrough,Object Property,,,http://sweetontology.net/phenPlanetClimate/ClimateChange,AdaptationMeasure,,,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,adaptedThrough
AdaptationMeasure,Class,,,,,,"A deliberate action, strategy, or intervention implemented to reduce the adverse impacts of climate change",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,AdaptationMeasure
ClimateAdaptationAction ,Class,AdaptationMeasure,IS-A,,,,A concrete activity or measure undertaken to reduce the impacts of climate change or increase the resilience of human or natural systems.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,ClimateAdaptationAction 
PolicyIntervention,Class,AdaptationMeasure,IS-A,,,,"A governance-led adaptation measure implemented through regulations, policies, legislation, incentives, or planning frameworks.",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,PolicyIntervention
InfrastructureResilienceMeasure ,Class,AdaptationMeasure,IS-A,,,,"An adaptation measure that strengthens, upgrades, or redesigns physical infrastructure to withstand climate-related hazards.",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,InfrastructureResilienceMeasure 
http://sweetontology.net/reprSciModel/ClimateModel,Class,,,,,,A computational model that applies mathematical equations to simulate the behaviour of the Earth’s climate system.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,ClimateModel
measuredBy,Object Property,,,http://sweetontology.net/phenPlanetClimate/ClimateChange,http://sweetontology.net/reprSciModel/ClimateModel UNION SatelliteObservation UNION MeteorologicalStation,,"The source of measurement, estimation, or observation through which evidence of climate change is obtained.",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,measuredBy
SatelliteObservation,Class,,,,,,A remote sensing measurement capturing key environmental or atmospheric variables of the Earth’s surface and climate system.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,SatelliteObservation
MeteorologicalStation,Class,,,,,,"A ground-based facility that measures atmospheric and weather variables such as temperature, humidity, precipitation, and wind.",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,MeteorologicalStation
EnvironmentalPhenomenon,Class,,,,,,"A naturally occurring process within the environment arising from interactions among biological, physical, or chemical components.",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,EnvironmentalPhenomenon
EarthSystemPhenomenon,Class,,,,,,"A large-scale physical, chemical, or biological process that occurs within or across components of the Earth system.",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,EarthSystemPhenomenon
MeteorologicalExtremeEvent,Class,,,,,,"Any atmospheric or weather-related phenomenon that deviates drastically from normal conditions and poses risks to humans, ecosystems, or infrastructure.",https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,MeteorologicalExtremeEvent
occursAt,Object Property,,,MeteorologicalExtremeEvent,http://sweetontology.net/propSpaceLocation/Location,,A relation linking an event to the geographical location where it takes place or manifests its observable impacts.,https://github.com/TheWorldAvatar/ontoclimateadapt/OntoClimateAdapt.owl,occursAt
